OBJECTID,GEOID,PLNG_REGIO,PlanningRegion,LogRecNo,SumLevel,NAME,Pop25P_e,Pop25P_m,NoHS_e,NoHS_m,pNoHS_e,pNoHS_m,SomeHS_e,SomeHS_m,pSomeHS_e,pSomeHS_m,HSGrad_e,HSGrad_m,pHSGrad_e,pHSGrad_m,SomeColl_e,SomeColl_m,pSomeColl_e,pSomeColl_m,Associates_e,Associates_m,pAssociates_e,pAssociates_m,BA_e,BA_m,pBA_e,pBA_m,GradProf_e,GradProf_m,pGradProf_e,pGradProf_m,LtHS_e,LtHS_m,pLtHS_e,pLtHS_m,HSPlus_e,HSPlus_m,pHSPlus_e,pHSPlus_m,BAPlus_e,BAPlus_m,pBAPlus_e,pBAPlus_m,created_user,created_date,last_edited_user,last_edited_date,SHAPE_Length,SHAPE_Area
11,30177,No,Northwest Georgia,3255,ZCTA,ZCTA5 30177,643,225,34,47,5.3,7,97,82,15.1,11.5,129,70,20.1,8.2,202,95,31.4,9.9,55,44,8.6,6.2,90,59,14,7.8,36,49,5.6,7.4,131,94,20.4,12.8,512,148,79.6,36.1,126,77,19.6,9.8,,,,,0.252966602180641,0.00128630503732055
12,31643,No,Southern Georgia,3763,ZCTA,ZCTA5 31643,5819,388,404,133,6.9,2.2,802,194,13.8,3.2,2209,250,38,3.5,1145,230,19.7,3.7,485,117,8.3,1.9,500,151,8.6,2.5,274,118,4.7,2,1206,235,20.7,3.8,4613,407,79.3,4.6,774,192,13.3,3.2,,,,,2.09111885799391,0.0646026690704715
13,30178,Partial,Northwest Georgia,3256,ZCTA,ZCTA5 30178,1815,372,139,86,7.7,4.5,273,115,15,5.5,702,218,38.7,9,348,120,19.2,5.3,127,80,7,4.2,118,58,6.5,2.9,108,79,6,4.2,412,144,22.7,6.4,1403,280,77.3,22.1,226,98,12.5,4.8,,,,,0.930626168625765,0.0136906094140511
14,31645,No,Southern Georgia,3764,ZCTA,ZCTA5 31645,3525,404,180,109,5.1,3,347,140,9.8,3.8,1170,239,33.2,5.6,894,219,25.4,5.5,445,160,12.6,4.3,269,107,7.6,2.9,220,87,6.2,2.4,527,177,15,4.7,2998,387,85,5,489,138,13.9,3.6,,,,,0.773200707922376,0.0124382536604909
15,30179,Partial,NW / TR,3257,ZCTA,ZCTA5 30179,11521,1160,598,241,5.2,2,1658,437,14.4,3.5,4632,676,40.2,4.3,2771,598,24.1,4.6,574,227,5,1.9,998,310,8.7,2.5,290,189,2.5,1.6,2256,498,19.6,3.9,9265,999,80.4,3.1,1288,363,11.2,2.9,,,,,1.20700587204325,0.0190667831577825
16,31647,No,Southern Georgia,3765,ZCTA,ZCTA5 31647,2365,261,171,66,7.2,2.7,473,132,20,5.1,916,134,38.7,3.7,375,107,15.9,4.2,222,76,9.4,3.1,129,65,5.5,2.7,79,51,3.3,2.1,644,147,27.2,5.5,1721,205,72.8,3.3,208,83,8.8,3.4,,,,,0.866939802159459,0.0112738390462799
17,30180,Yes,ARC / NW / TR,3258,ZCTA,ZCTA5 30180,23069,979,1025,234,4.4,1,1732,316,7.5,1.3,7399,627,32.1,2.4,5718,588,24.8,2.3,1924,312,8.3,1.3,3416,478,14.8,2,1855,292,8,1.2,2757,393,12,1.6,20312,1072,88,2.8,5271,560,22.8,2.2,,,,,1.0317394844783,0.019090122545131
18,31648,No,Southern Georgia,3766,ZCTA,ZCTA5 31648,625,144,112,72,17.9,10.8,52,45,8.3,7,219,77,35,9.3,144,69,23,9.6,31,34,5,5.3,51,47,8.2,7.3,16,30,2.6,4.7,164,85,26.2,12.3,461,122,73.8,9.7,67,56,10.7,8.6,,,,,0.16484879828208,0.00112451526204716
19,30182,Partial,NW / TR,3259,ZCTA,ZCTA5 30182,1768,281,116,79,6.6,4.3,272,127,15.4,6.7,731,181,41.3,7.8,324,127,18.3,6.6,110,72,6.2,4,122,61,6.9,3.3,93,62,5.3,3.4,388,149,21.9,7.7,1380,248,78.1,6.6,215,87,12.2,4.5,,,,,0.793897881385515,0.00898750222861167
20,31649,No,Southern Georgia,3767,ZCTA,ZCTA5 31649,756,162,35,42,4.6,5.4,87,43,11.5,5.1,358,119,47.4,12,151,71,20,8.3,36,32,4.8,4.1,75,62,9.9,7.9,14,27,1.9,3.6,122,60,16.1,7.1,634,157,83.9,10.4,89,68,11.8,8.6,,,,,0.876620818179244,0.0121865271777315
21,30183,Partial,ARC / NW,3260,ZCTA,ZCTA5 30183,3740,629,128,84,3.4,2.2,248,129,6.6,3.3,1356,325,36.3,6.2,850,216,22.7,4.3,311,110,8.3,2.6,550,188,14.7,4.4,297,106,7.9,2.5,376,154,10.1,3.7,3364,459,89.9,19.5,847,216,22.6,4.3,,,,,0.712094655846019,0.0157782561690891
22,31650,No,Southern Georgia,3768,ZCTA,ZCTA5 31650,2407,377,424,121,17.6,4.2,170,67,7.1,2.5,947,209,39.3,6.1,527,180,21.9,6.6,172,91,7.1,3.6,97,64,4,2.6,70,55,2.9,2.2,594,138,24.7,4.2,1813,302,75.3,4.3,167,84,6.9,3.3,,,,,1.0783719176402,0.0252803415308107
23,30184,Yes,ARC / NW,3261,ZCTA,ZCTA5 30184,4925,566,82,54,1.7,1.1,459,178,9.3,3.5,1405,270,28.5,4.4,942,204,19.1,3.5,457,161,9.3,3.1,888,235,18,4.3,692,250,14.1,4.8,541,186,11,3.6,4384,508,89,1.3,1580,343,32.1,5.9,,,,,1.43451626446357,0.0178076151285915
24,31698,No,Southern Georgia,3769,ZCTA,ZCTA5 31698,14,19,0,37,0,262.6,0,37,0,262.6,0,18,0,131.3,14,24,100,106.4,0,18,0,131.3,0,18,0,131.3,0,32,0,227.5,0,52,0,371.4,14,51,100,338.8,0,37,0,262.6,,,,,0.0187296700565405,2.05007373745123e-05
25,30185,Yes,ARC / TR,3262,ZCTA,ZCTA5 30185,2859,258,141,56,4.9,1.9,461,118,16.1,3.9,1199,191,41.9,5.5,491,119,17.2,3.9,154,64,5.4,2.2,269,90,9.4,3,144,75,5,2.6,602,131,21.1,4.2,2257,262,78.9,5.8,413,117,14.4,3.9,,,,,0.835229260003767,0.0160640631291619
26,31699,No,Southern Georgia,3770,ZCTA,ZCTA5 31699,69,40,0,37,0,53.3,1,35,1.4,50.2,14,25,20.3,33.8,28,39,40.6,51.6,13,24,18.8,32.8,13,20,18.8,26.4,0,32,0,46.1,1,51,1.4,73.2,68,64,98.6,73.3,13,37,18.8,53.2,,,,,0.0719587319834609,0.000131133764467453
27,30187,Yes,Atlanta Regional Commission,3263,ZCTA,ZCTA5 30187,5457,434,114,87,2.1,1.6,365,164,6.7,3,1906,240,34.9,3.4,1374,272,25.2,4.6,404,132,7.4,2.3,800,193,14.7,3.3,494,169,9.1,3,479,186,8.8,3.3,4978,464,91.2,4.4,1294,256,23.7,4.3,,,,,0.846401724713021,0.00867051311506665
28,31701,No,Southwest Georgia,3771,ZCTA,ZCTA5 31701,12492,668,1051,208,8.4,1.6,2114,297,16.9,2.2,4221,403,33.8,2.7,2754,339,22,2.4,814,177,6.5,1.4,1002,200,8,1.5,536,127,4.3,1,3165,363,25.3,2.6,9327,604,74.7,2.7,1538,237,12.3,1.8,,,,,0.827385688499578,0.00707646118641322
29,30188,Yes,Atlanta Regional Commission,3264,ZCTA,ZCTA5 30188,41903,1445,700,222,1.7,0.5,2153,467,5.1,1.1,8627,780,20.6,1.7,10721,868,25.6,1.9,2964,465,7.1,1.1,11477,868,27.4,1.8,5261,528,12.6,1.2,2853,517,6.8,1.2,39050,1616,93.2,2.1,16738,1016,39.9,2,,,,,0.754670843671883,0.0112625079230686
30,31705,No,Southwest Georgia,3772,ZCTA,ZCTA5 31705,19748,858,1489,262,7.5,1.3,3225,391,16.3,1.8,6568,566,33.3,2.5,5091,474,25.8,2.1,1358,238,6.9,1.2,1281,215,6.5,1.1,736,166,3.7,0.8,4714,471,23.9,2.1,15034,822,76.1,2.5,2017,272,10.2,1.3,,,,,1.22929094741314,0.0382025692626768
31,30189,Yes,Atlanta Regional Commission,3265,ZCTA,ZCTA5 30189,24566,839,458,191,1.9,0.8,970,277,3.9,1.1,4739,518,19.3,2,5990,607,24.4,2.3,1737,293,7.1,1.2,7282,547,29.6,2,3390,397,13.8,1.5,1428,337,5.8,1.4,23138,1086,94.2,3,10672,676,43.4,2.3,,,,,0.459353079500984,0.00546726920129653
32,31707,No,Southwest Georgia,3773,ZCTA,ZCTA5 31707,16095,669,657,221,4.1,1.4,1191,243,7.4,1.5,4387,432,27.3,2.4,4362,489,27.1,2.8,1453,281,9,1.7,2143,359,13.3,2.2,1902,323,11.8,1.9,1848,329,11.5,2,14247,859,88.5,3.9,4045,483,25.1,2.8,,,,,0.57053067895143,0.00466149582228413
33,30204,No,MG / TR,3266,ZCTA,ZCTA5 30204,7952,325,230,127,2.9,1.6,962,222,12.1,2.8,3014,340,37.9,4,1765,301,22.2,3.7,708,254,8.9,3.2,904,199,11.4,2.5,369,121,4.6,1.5,1192,256,15,3.2,6760,570,85,6.3,1273,233,16,2.9,,,,,1.27415576424229,0.0315277251014897
34,31709,No,River Valley,3774,ZCTA,ZCTA5 31709,9682,481,621,167,6.4,1.7,1110,240,11.5,2.4,3186,406,32.9,3.9,1869,303,19.3,3,815,205,8.4,2.1,1042,258,10.8,2.6,1039,203,10.7,2,1731,293,17.9,2.9,7951,637,82.1,5.2,2081,328,21.5,3.2,,,,,1.32110413323995,0.0318988988397535
35,30205,Yes,ARC / TR,3267,ZCTA,ZCTA5 30205,2110,233,33,38,1.6,1.8,88,46,4.2,2.1,516,97,24.5,3.7,480,101,22.7,4.1,157,54,7.4,2.4,637,141,30.2,5.8,199,63,9.4,2.8,121,59,5.7,2.7,1989,215,94.3,14.6,836,154,39.6,5.9,,,,,0.602207230984237,0.00931176460294809
36,31711,No,River Valley,3775,ZCTA,ZCTA5 31711,567,153,59,32,10.4,4.9,99,45,17.5,6.4,135,58,23.8,7.9,70,33,12.3,4.8,118,65,20.8,10,68,53,12,8.8,18,30,3.2,5.2,158,55,27.9,6.2,409,111,72.1,2.6,86,61,15.2,10,,,,,0.88783242401263,0.0147363107402799
37,30206,No,Three Rivers,3268,ZCTA,ZCTA5 30206,2378,291,98,66,4.1,2.7,212,85,8.9,3.4,1136,211,47.8,6.7,477,121,20.1,4.4,179,89,7.5,3.6,214,76,9,3,62,36,2.6,1.5,310,108,13,4.3,2068,273,87,4.3,276,85,11.6,3.3,,,,,0.772463508509619,0.0140833006297759
38,31712,No,River Valley,3776,ZCTA,ZCTA5 31712,926,164,72,45,7.8,4.6,145,54,15.7,5.1,397,123,42.9,10.9,144,58,15.6,5.6,55,35,5.9,3.6,74,39,8,4,39,32,4.2,3.4,217,70,23.4,6.3,709,149,76.6,8.7,113,51,12.2,5,,,,,0.700179837505954,0.0121926814467748
39,30213,Yes,Atlanta Regional Commission,3269,ZCTA,ZCTA5 30213,19610,1483,772,284,3.9,1.4,1265,418,6.5,2.1,6148,937,31.4,4.2,5046,802,25.7,3.6,1549,502,7.9,2.5,2756,590,14.1,2.8,2074,507,10.6,2.5,2037,506,10.4,2.5,17573,1542,89.6,4,4830,778,24.6,3.5,,,,,1.04187162226607,0.0163413220540773
40,31714,No,SG / SW,3777,ZCTA,ZCTA5 31714,4141,238,407,129,9.8,3.1,584,206,14.1,4.9,1634,287,39.5,6.5,631,183,15.2,4.3,391,130,9.4,3.1,261,122,6.3,2.9,233,110,5.6,2.6,991,243,23.9,5.7,3150,399,76.1,8.6,494,164,11.9,3.9,,,,,1.69668778579972,0.0468880098925584
41,30214,Yes,Atlanta Regional Commission,3270,ZCTA,ZCTA5 30214,20183,730,745,205,3.7,1,1010,236,5,1.2,5057,455,25.1,2.1,4292,484,21.3,2.3,1475,271,7.3,1.3,4756,472,23.6,2.2,2848,363,14.1,1.7,1755,312,8.7,1.5,18428,932,91.3,3.2,7604,595,37.7,2.6,,,,,0.788208510913294,0.0135406193568887
42,31716,No,Southwest Georgia,3778,ZCTA,ZCTA5 31716,1734,280,67,41,3.9,2.3,261,104,15.1,5.5,630,161,36.3,7.2,346,124,20,6.4,271,105,15.6,5.5,102,50,5.9,2.7,57,62,3.3,3.5,328,112,18.9,5.7,1406,242,81.1,4.8,159,79,9.2,4.3,,,,,0.90047042683596,0.0199243864297498
43,30215,Yes,Atlanta Regional Commission,3271,ZCTA,ZCTA5 30215,23829,809,230,105,1,0.4,666,175,2.8,0.7,5374,434,22.6,1.7,5032,502,21.1,2,2003,296,8.4,1.2,6743,552,28.3,2.1,3781,438,15.9,1.8,896,204,3.8,0.8,22933,1012,96.2,2.7,10524,705,44.2,2.5,,,,,0.835301633254727,0.018434490542023
44,31719,No,River Valley,3779,ZCTA,ZCTA5 31719,5741,450,472,160,8.2,2.7,980,263,17.1,4.4,2067,395,36,6.3,1172,270,20.4,4.4,513,173,8.9,2.9,210,86,3.7,1.5,327,116,5.7,2,1452,308,25.3,5,4289,529,74.7,7.1,537,144,9.4,2.4,,,,,1.34251616759013,0.0234818599449597
45,30216,No,Three Rivers,3272,ZCTA,ZCTA5 30216,1622,333,118,74,7.3,4.3,212,97,13.1,5.3,850,241,52.4,10.2,182,91,11.2,5.1,132,106,8.1,6.3,107,59,6.6,3.4,21,32,1.3,2,330,122,20.3,6.3,1292,286,79.7,6.7,128,67,7.9,3.8,,,,,0.601615544636142,0.00757426006126715
46,31720,No,SG / SW,3780,ZCTA,ZCTA5 31720,230,64,12,31,5.2,13.5,29,30,12.6,12.4,104,38,45.2,11,50,24,21.7,8.6,5,15,2.2,6.6,16,13,7,5.5,14,31,6.1,13.2,41,43,17.8,18.1,189,58,82.2,11.1,30,33,13,14.1,,,,,0.164543353395545,0.00116702099751661
47,30217,Partial,Three Rivers,3273,ZCTA,ZCTA5 30217,6517,266,360,116,5.5,1.8,997,173,15.3,2.6,2915,227,44.7,3,1174,197,18,2.9,365,105,5.6,1.6,404,103,6.2,1.6,302,82,4.6,1.2,1357,209,20.8,3.1,5160,344,79.2,4.2,706,132,10.8,2,,,,,1.42118505247331,0.0664687600708218
48,31721,No,Southwest Georgia,3781,ZCTA,ZCTA5 31721,14201,786,305,131,2.1,0.9,604,160,4.3,1.1,3223,481,22.7,3.1,3303,401,23.3,2.5,1297,239,9.1,1.6,3099,372,21.8,2.3,2370,321,16.7,2.1,909,207,6.4,1.4,13292,831,93.6,2.7,5469,492,38.5,2.7,,,,,1.84757136162536,0.0532895146569082
49,30218,No,Three Rivers,3274,ZCTA,ZCTA5 30218,1079,215,121,91,11.2,8.2,229,114,21.2,9.7,458,124,42.4,7.8,153,84,14.2,7.3,29,35,2.7,3.2,60,47,5.6,4.2,29,36,2.7,3.3,350,146,32.4,11.9,729,165,67.6,7.3,89,59,8.2,5.2,,,,,0.989069542806855,0.0171014726768466
50,31722,No,Southwest Georgia,3782,ZCTA,ZCTA5 31722,283,81,18,29,6.4,10.1,60,30,21.2,8.7,142,45,50.2,7,27,16,9.5,5,12,11,4.2,3.6,13,10,4.6,3.2,11,26,3.9,9.2,78,42,27.6,12.5,205,57,72.4,28.8,24,28,8.5,9.6,,,,,0.089728681376148,0.0001869299076789
51,30220,Partial,Three Rivers,3275,ZCTA,ZCTA5 30220,3409,314,137,70,4,2,399,125,11.7,3.5,1368,188,40.1,4.1,775,157,22.7,4.1,320,129,9.4,3.7,281,89,8.2,2.5,129,74,3.8,2.2,536,143,15.7,3.9,2873,300,84.3,4.1,410,116,12,3.2,,,,,0.804352537177109,0.0137773284857367
52,30222,No,Three Rivers,3276,ZCTA,ZCTA5 30222,2826,369,343,126,12.1,4.2,420,144,14.9,4.7,1231,207,43.6,4.6,628,176,22.2,5.5,76,47,2.7,1.6,73,40,2.6,1.4,55,58,1.9,2,763,192,27,5.8,2063,285,73,3.3,128,71,4.5,2.4,,,,,1.57325071863323,0.0363386000278103
53,31784,No,Southwest Georgia,3808,ZCTA,ZCTA5 31784,425,123,21,28,4.9,6.5,41,30,9.6,6.6,147,49,34.6,5.9,111,43,26.1,6.8,64,44,15.1,9.5,11,13,2.6,3,30,44,7.1,10.1,62,42,14.6,8.8,363,91,85.4,32.8,41,46,9.6,10.3,,,,,0.455087589863803,0.00832842686938735
54,30223,Yes,Three Rivers,3277,ZCTA,ZCTA5 30223,25000,805,1522,267,6.1,1,3910,457,15.6,1.8,10408,694,41.6,2.4,4552,506,18.2,1.9,1580,310,6.3,1.2,2074,270,8.3,1,954,209,3.8,0.8,5432,529,21.7,2,19568,975,78.3,3,3028,342,12.1,1.3,,,,,1.14471653353619,0.0276404919562312
55,31787,No,RV / SW,3809,ZCTA,ZCTA5 31787,1023,186,3,35,0.3,3.4,107,56,10.5,5.2,424,103,41.4,6.6,238,80,23.3,6.6,56,31,5.5,2.9,158,71,15.4,6.4,37,34,3.6,3.3,110,66,10.8,6.2,913,155,89.2,22.2,195,79,19.1,6.9,,,,,1.15706200482453,0.0219976363591093
56,31788,No,Southwest Georgia,3810,ZCTA,ZCTA5 31788,6469,588,743,235,11.5,3.5,901,226,13.9,3.3,2414,382,37.3,4.8,882,190,13.6,2.7,673,280,10.4,4.2,612,164,9.5,2.4,244,108,3.8,1.6,1644,326,25.4,4.5,4825,547,74.6,5,856,196,13.2,2.8,,,,,1.2511570965838,0.0319414504276513
57,31789,No,Southwest Georgia,3811,ZCTA,ZCTA5 31789,683,162,85,62,12.4,8.6,130,57,19,7,196,61,28.7,5.8,120,53,17.6,6.6,69,39,10.1,5.2,55,50,8.1,7,28,27,4.1,3.8,215,84,31.5,9.8,468,106,68.5,22.5,83,56,12.2,7.7,,,,,1.24325516070021,0.0158497395487382
58,31790,No,Southern Georgia,3812,ZCTA,ZCTA5 31790,1205,184,78,49,6.5,4,163,68,13.5,5.2,387,96,32.1,6.3,319,93,26.5,6.6,90,43,7.5,3.4,136,66,11.3,5.2,32,33,2.7,2.7,241,84,20,6.3,964,159,80,5,168,74,13.9,5.8,,,,,0.769762494416433,0.0163117536505244
59,31791,No,Southwest Georgia,3813,ZCTA,ZCTA5 31791,8126,463,469,184,5.8,2.2,1131,306,13.9,3.7,3327,365,40.9,3.8,1342,249,16.5,2.9,825,231,10.2,2.8,574,185,7.1,2.2,458,205,5.6,2.5,1600,357,19.7,4.2,6526,570,80.3,5.3,1032,276,12.7,3.3,,,,,1.82495252949807,0.046862483605277
60,31792,No,Southwest Georgia,3814,ZCTA,ZCTA5 31792,16453,573,697,238,4.2,1.4,2169,403,13.2,2.4,4788,459,29.1,2.6,3340,434,20.3,2.5,1297,281,7.9,1.7,2300,329,14,1.9,1862,330,11.3,2,2866,468,17.4,2.8,13587,835,82.6,4.2,4162,466,25.3,2.7,,,,,1.34854659856551,0.0521649603618366
61,31793,No,Southern Georgia,3815,ZCTA,ZCTA5 31793,6305,521,345,140,5.5,2.2,439,131,7,2,1790,256,28.4,3.3,1322,260,21,3.7,930,216,14.8,3.2,717,156,11.4,2.3,762,197,12.1,3,784,192,12.4,2.9,5521,493,87.6,3,1479,251,23.5,3.5,,,,,1.19289215791871,0.0254690241374204
62,31794,No,Southern Georgia,3816,ZCTA,ZCTA5 31794,16662,595,1028,234,6.2,1.4,2205,360,13.2,2.1,6145,510,36.9,2.8,3041,423,18.3,2.5,1783,293,10.7,1.7,1188,221,7.1,1.3,1272,251,7.6,1.5,3233,430,19.4,2.5,13429,798,80.6,3.8,2460,334,14.8,1.9,,,,,1.24077337708667,0.0285856689405245
63,31795,No,SG / SW,3817,ZCTA,ZCTA5 31795,1390,239,61,40,4.4,2.8,208,83,15,5.4,573,135,41.2,6.6,270,95,19.4,6,151,67,10.9,4.5,108,43,7.8,2.8,19,30,1.4,2.1,269,92,19.4,5.7,1121,186,80.6,19.3,127,52,9.1,3.4,,,,,0.728282625441646,0.0122740246005701
64,31796,No,Southwest Georgia,3818,ZCTA,ZCTA5 31796,805,178,47,32,5.8,3.8,89,58,11.1,6.7,353,103,43.9,8.3,175,55,21.7,4.8,44,24,5.5,2.7,75,58,9.3,7,22,39,2.7,4.8,136,66,16.9,7.3,669,138,83.1,25.1,97,70,12,8.3,,,,,0.982509133755551,0.0151783941358272
65,31798,No,Southern Georgia,3819,ZCTA,ZCTA5 31798,499,188,73,74,14.6,13.9,23,38,4.6,7.5,150,73,30.1,9.3,25,28,5,5.2,117,77,23.4,12.7,86,66,17.2,11.5,25,50,5,9.9,96,84,19.2,15.1,403,138,80.8,41.1,111,83,22.2,14.3,,,,,1.20117847944233,0.0194869945140919
66,31801,No,River Valley,3820,ZCTA,ZCTA5 31801,2295,270,159,62,6.9,2.6,393,124,17.1,5,770,153,33.6,5.4,490,126,21.4,4.9,142,82,6.2,3.5,236,86,10.3,3.5,105,51,4.6,2.2,552,139,24.1,5.3,1743,237,75.9,5.1,341,100,14.9,4,,,,,1.16943558047336,0.0216002545020571
67,31803,No,River Valley,3821,ZCTA,ZCTA5 31803,4067,241,213,89,5.2,2.2,652,157,16,3.7,1547,201,38,4.4,975,198,24,4.6,210,67,5.2,1.6,259,78,6.4,1.9,211,86,5.2,2.1,865,181,21.3,4.3,3202,312,78.7,6.1,470,116,11.6,2.8,,,,,1.52225212050499,0.0703905557330632
68,31804,No,River Valley,3822,ZCTA,ZCTA5 31804,4178,387,39,60,0.9,1.4,314,132,7.5,3.1,955,202,22.9,4.3,1391,286,33.3,6.1,491,183,11.8,4.2,560,156,13.4,3.5,428,143,10.2,3.3,353,145,8.4,3.4,3825,448,91.6,6.6,988,211,23.6,4.6,,,,,1.00318145202759,0.013166129016443
69,31805,No,River Valley,3823,ZCTA,ZCTA5 31805,1750,156,62,61,3.5,3.5,229,99,13.1,5.5,741,160,42.3,8.3,354,108,20.2,5.9,117,55,6.7,3.1,171,85,9.8,4.8,76,56,4.3,3.2,291,116,16.6,6.5,1459,225,83.4,10.5,247,102,14.1,5.7,,,,,0.81582721133015,0.0176162199447146
70,31806,No,River Valley,3824,ZCTA,ZCTA5 31806,3300,203,159,58,4.8,1.7,435,109,13.2,3.2,1145,137,34.7,3.6,837,144,25.4,4.1,266,81,8.1,2.4,271,72,8.2,2.1,187,56,5.7,1.7,594,124,18,3.6,2706,233,82,5,458,91,13.9,2.6,,,,,1.26218022153471,0.0409944518010065
71,31807,No,River Valley,3825,ZCTA,ZCTA5 31807,2298,363,32,48,1.4,2.1,99,87,4.3,3.7,462,176,20.1,7,744,215,32.4,7.8,242,138,10.5,5.8,444,146,19.3,5.6,275,152,12,6.3,131,99,5.7,4.2,2167,375,94.3,6.7,719,211,31.3,7.7,,,,,0.39411674435549,0.00294305249470673
72,31820,No,River Valley,3833,ZCTA,ZCTA5 31820,7089,496,51,68,0.7,1,74,60,1,0.8,1155,268,16.3,3.6,1591,282,22.4,3.7,489,145,6.9,2,2279,324,32.1,4,1450,285,20.5,3.8,125,91,1.8,1.3,6964,599,98.2,4.9,3729,431,52.6,4.8,,,,,0.659876849618116,0.0100254131453551
73,31821,No,River Valley,3834,ZCTA,ZCTA5 31821,113,63,0,37,0,32.5,32,43,28.3,34.3,75,42,66.4,2.1,0,26,0,23,0,18,0,16.3,6,16,5.3,13.7,0,32,0,28.2,32,56,28.3,47.3,81,63,71.7,39.5,6,36,5.3,31.3,,,,,1.10843850277163,0.0231896737221036
